region,okato,year,RDcosts_r
Карачаево-Черкесская Республика,91,2018,516.7677
Карачаево-Черкесская Республика,91,2019,515.4039
Карачаево-Черкесская Республика,91,2020,550.6841
Карачаево-Черкесская Республика,91,2021,612.4611
Карачаево-Черкесская Республика,91,2022,743.0593
Карачаево-Черкесская Республика,91,2023,887.6614000000001
Карачаево-Черкесская Республика,91,2024,858.8224
Республика Татарстан (Татарстан),92,2016,16089.4905
Республика Татарстан (Татарстан),92,2017,20611.1724
Республика Татарстан (Татарстан),92,2018,22863.621300000003
Республика Татарстан (Татарстан),92,2019,30060.6027
Республика Татарстан (Татарстан),92,2020,24990.974100000003
Республика Татарстан (Татарстан),92,2021,27482.076
Республика Татарстан (Татарстан),92,2022,32819.0852
Республика Татарстан (Татарстан),92,2023,39568.1643
Республика Татарстан (Татарстан),92,2024,60057.9313
Республика Тыва,93,2016,259.5239
Республика Тыва,93,2017,261.5609
Республика Тыва,93,2018,306.8938
Республика Тыва,93,2019,310.3451
Республика Тыва,93,2020,360.5929
Республика Тыва,93,2021,376.1418
Республика Тыва,93,2022,415.3536
Республика Тыва,93,2023,430.5104
Республика Тыва,93,2024,452.1312
Удмуртская Республика,94,2016,1269.2114
Удмуртская Республика,94,2017,2144.6312000000003
Удмуртская Республика,94,2018,3099.2917
Удмуртская Республика,94,2019,2400.6512
Удмуртская Республика,94,2020,2175.6379
Удмуртская Республика,94,2021,2635.5428
Удмуртская Республика,94,2022,2121.4331
Удмуртская Республика,94,2023,2743.3437000000004
Удмуртская Республика,94,2024,4951.5636
Республика Хакасия,95,2016,89.3489
Республика Хакасия,95,2017,175.2755
Республика Хакасия,95,2018,189.1528
Республика Хакасия,95,2019,186.3223
Республика Хакасия,95,2020,114.2033
Республика Хакасия,95,2021,167.5939
Республика Хакасия,95,2022,218.1459
Республика Хакасия,95,2023,283.4067
Республика Хакасия,95,2024,256.3429
Чеченская Республика,96,2016,218.269
Чеченская Республика,96,2017,269.2551
Чеченская Республика,96,2018,278.8345
Чеченская Республика,96,2019,350.1263
Чеченская Республика,96,2020,376.8074
Чеченская Республика,96,2021,554.3649
Чеченская Республика,96,2022,521.9662
Чеченская Республика,96,2023,478.4805
Чеченская Республика,96,2024,782.4626
Чувашская Республика - Чувашия,97,2016,1753.0316
Чувашская Республика - Чувашия,97,2017,2430.1278
Чувашская Республика - Чувашия,97,2018,2592.8144
Чувашская Республика - Чувашия,97,2019,2397.4688
Чувашская Республика - Чувашия,97,2020,2284.4856
Чувашская Республика - Чувашия,97,2021,2255.2572
Чувашская Республика - Чувашия,97,2022,1872.4986
Чувашская Республика - Чувашия,97,2023,1485.7798
Чувашская Республика - Чувашия,97,2024,2400.7642
Республика Саха (Якутия),98,2016,2740.1679
Республика Саха (Якутия),98,2017,2848.689
Республика Саха (Якутия),98,2018,3042.6874
Республика Саха (Якутия),98,2019,3041.098
Республика Саха (Якутия),98,2020,3273.9887000000003
Республика Саха (Якутия),98,2021,3767.8616
Республика Саха (Якутия),98,2022,4328.5616
Республика Саха (Якутия),98,2023,4587.1547
Республика Саха (Якутия),98,2024,4816.1045
Еврейская автономная область,99,2016,
Еврейская автономная область,99,2017,
Еврейская автономная область,99,2018,
Еврейская автономная область,99,2019,
Еврейская автономная область,99,2020,
Еврейская автономная область,99,2021,
Еврейская автономная область,99,2022,
Еврейская автономная область,99,2023,
Еврейская автономная область,99,2024,133.11120000000005
