region,okato,year,RDequip_r
Республика Калмыкия,85,2023,
Республика Калмыкия,85,2024,
Республика Карелия,86,2016,16.311799999999998
Республика Карелия,86,2017,14.2704
Республика Карелия,86,2018,13.3839
Республика Карелия,86,2019,17.1587
Республика Карелия,86,2020,42.5718
Республика Карелия,86,2021,4.5939
Республика Карелия,86,2022,5.437600000000001
Республика Карелия,86,2023,
Республика Карелия,86,2024,121.3228
Республика Коми,87,2016,41.3813
Республика Коми,87,2017,6.3805
Республика Коми,87,2018,12.4375
Республика Коми,87,2019,33.9372
Республика Коми,87,2020,24.1813
Республика Коми,87,2021,24.0638
Республика Коми,87,2022,34.331900000000005
Республика Коми,87,2023,24.1956
Республика Коми,87,2024,35.012
Республика Марий Эл,88,2016,11.5036
Республика Марий Эл,88,2017,16.561799999999998
Республика Марий Эл,88,2018,16.022
Республика Марий Эл,88,2019,10.5886
Республика Марий Эл,88,2020,4.0358
Республика Марий Эл,88,2021,51.9023
Республика Марий Эл,88,2022,
Республика Марий Эл,88,2023,41.3024
Республика Марий Эл,88,2024,17.9949
Республика Мордовия,89,2016,11.7506
Республика Мордовия,89,2017,22.6688
Республика Мордовия,89,2018,12.3764
Республика Мордовия,89,2019,14.91
Республика Мордовия,89,2020,116.3883
Республика Мордовия,89,2021,21.5574
Республика Мордовия,89,2022,60.0938
Республика Мордовия,89,2023,58.5612
Республика Мордовия,89,2024,67.6904
Республика Северная Осетия-Алания,90,2016,1.5385
Республика Северная Осетия-Алания,90,2017,0.3935
Республика Северная Осетия-Алания,90,2018,2.068
Республика Северная Осетия-Алания,90,2019,1.8814
Республика Северная Осетия-Алания,90,2020,57.7429
Республика Северная Осетия-Алания,90,2021,3.9022
Республика Северная Осетия-Алания,90,2022,29.2126
Республика Северная Осетия-Алания,90,2023,33.9598
Республика Северная Осетия-Алания,90,2024,68.6795
Карачаево-Черкесская Республика,91,2016,26.9687
Карачаево-Черкесская Республика,91,2017,48.615
Карачаево-Черкесская Республика,91,2018,42.1633
Карачаево-Черкесская Республика,91,2019,33.5448
Карачаево-Черкесская Республика,91,2020,
Карачаево-Черкесская Республика,91,2021,
Карачаево-Черкесская Республика,91,2022,
Карачаево-Черкесская Республика,91,2023,
Карачаево-Черкесская Республика,91,2024,
Республика Татарстан (Татарстан),92,2016,228.1747
Республика Татарстан (Татарстан),92,2017,504.5359
Республика Татарстан (Татарстан),92,2018,384.3548
Республика Татарстан (Татарстан),92,2019,191.6654
Республика Татарстан (Татарстан),92,2020,199.4281
Республика Татарстан (Татарстан),92,2021,527.4658000000001
Республика Татарстан (Татарстан),92,2022,438.8233
Республика Татарстан (Татарстан),92,2023,468.4843
Республика Татарстан (Татарстан),92,2024,4978.251
Республика Тыва,93,2016,1.0112
Республика Тыва,93,2017,1.4669
Республика Тыва,93,2018,0.3881
Республика Тыва,93,2019,
Республика Тыва,93,2020,
Республика Тыва,93,2021,
Республика Тыва,93,2022,1.878
Республика Тыва,93,2023,1.9943
Республика Тыва,93,2024,
Удмуртская Республика,94,2016,17.6645
Удмуртская Республика,94,2017,56.3551
Удмуртская Республика,94,2018,28.1531
Удмуртская Республика,94,2019,17.6181
Удмуртская Республика,94,2020,9.5204
Удмуртская Республика,94,2021,42.021
Удмуртская Республика,94,2022,33.1989
Удмуртская Республика,94,2023,25.8327
Удмуртская Республика,94,2024,24.0942
Республика Хакасия,95,2016,2.0583
Республика Хакасия,95,2017,3.366
Республика Хакасия,95,2018,1.3611
Республика Хакасия,95,2019,2.0285
Республика Хакасия,95,2020,1.5513
Республика Хакасия,95,2021,1.4489
Республика Хакасия,95,2022,5.3661
Республика Хакасия,95,2023,
Республика Хакасия,95,2024,0.8206
Чеченская Республика,96,2016,8.85
Чеченская Республика,96,2017,11.7723
Чеченская Республика,96,2018,9.3229
Чеченская Республика,96,2019,
Чеченская Республика,96,2020,
Чеченская Республика,96,2021,
Чеченская Республика,96,2022,152.039
Чеченская Республика,96,2023,
Чеченская Республика,96,2024,
Чувашская Республика - Чувашия,97,2016,11.5874
Чувашская Республика - Чувашия,97,2017,15.3051
Чувашская Республика - Чувашия,97,2018,83.20110000000001
Чувашская Республика - Чувашия,97,2019,14.2785
Чувашская Республика - Чувашия,97,2020,117.3567
Чувашская Республика - Чувашия,97,2021,18.7603
Чувашская Республика - Чувашия,97,2022,9.1385
Чувашская Республика - Чувашия,97,2023,15.9947
Чувашская Республика - Чувашия,97,2024,30.6437
Республика Саха (Якутия),98,2016,23.5621
Республика Саха (Якутия),98,2017,17.727700000000002
Республика Саха (Якутия),98,2018,11.4797
Республика Саха (Якутия),98,2019,6.6917
Республика Саха (Якутия),98,2020,27.1853
Республика Саха (Якутия),98,2021,42.7214
Республика Саха (Якутия),98,2022,72.4349
Республика Саха (Якутия),98,2023,32.4323
Республика Саха (Якутия),98,2024,20.7546
Еврейская автономная область,99,2016,
Еврейская автономная область,99,2017,
Еврейская автономная область,99,2018,
Еврейская автономная область,99,2019,
Еврейская автономная область,99,2020,
Еврейская автономная область,99,2021,
Еврейская автономная область,99,2022,
Еврейская автономная область,99,2023,
Еврейская автономная область,99,2024,
