region,okato,year,researchers_r
Удмуртская Республика,94,2018,1859.0
Удмуртская Республика,94,2019,2036.0
Удмуртская Республика,94,2020,1839.0
Удмуртская Республика,94,2021,1770.0
Удмуртская Республика,94,2022,1736.0
Удмуртская Республика,94,2023,1699.0
Удмуртская Республика,94,2024,2133.0
Республика Хакасия,95,2016,388.0
Республика Хакасия,95,2017,385.0
Республика Хакасия,95,2018,97.0
Республика Хакасия,95,2019,107.0
Республика Хакасия,95,2020,105.0
Республика Хакасия,95,2021,104.0
Республика Хакасия,95,2022,110.0
Республика Хакасия,95,2023,137.0
Республика Хакасия,95,2024,127.0
Чеченская Республика,96,2016,480.0
Чеченская Республика,96,2017,480.0
Чеченская Республика,96,2018,404.0
Чеченская Республика,96,2019,349.0
Чеченская Республика,96,2020,364.0
Чеченская Республика,96,2021,349.0
Чеченская Республика,96,2022,352.0
Чеченская Республика,96,2023,372.0
Чеченская Республика,96,2024,385.0
Чувашская Республика - Чувашия,97,2016,1487.0
Чувашская Республика - Чувашия,97,2017,1555.0
Чувашская Республика - Чувашия,97,2018,1687.0
Чувашская Республика - Чувашия,97,2019,1445.0
Чувашская Республика - Чувашия,97,2020,1365.0
Чувашская Республика - Чувашия,97,2021,1453.0
Чувашская Республика - Чувашия,97,2022,1064.0
Чувашская Республика - Чувашия,97,2023,938.0
Чувашская Республика - Чувашия,97,2024,1147.0
Республика Саха (Якутия),98,2016,
Республика Саха (Якутия),98,2017,12601.0
Республика Саха (Якутия),98,2018,2122.0
Республика Саха (Якутия),98,2019,2114.0
Республика Саха (Якутия),98,2020,2140.0
Республика Саха (Якутия),98,2021,2142.0
Республика Саха (Якутия),98,2022,2515.0
Республика Саха (Якутия),98,2023,2369.0
Республика Саха (Якутия),98,2024,2193.0
Еврейская автономная область,99,2016,
Еврейская автономная область,99,2017,
Еврейская автономная область,99,2018,
Еврейская автономная область,99,2019,
Еврейская автономная область,99,2020,
Еврейская автономная область,99,2021,59.0
Еврейская автономная область,99,2022,
Еврейская автономная область,99,2023,
Еврейская автономная область,99,2024,60.0
