sector,okved2,year,RDcosts_s
"Добыча драгоценных камней, кварца, слюды, мусковита и т. д.",08.99.3,2024,
Добыча алмазов,08.99.32,2024,
Предоставление услуг в области добычи полезных ископаемых,09,2017,
Предоставление услуг в области добычи полезных ископаемых,09,2018,
Предоставление услуг в области добычи полезных ископаемых,09,2019,29.2717
Предоставление услуг в области добычи полезных ископаемых,09,2020,37.8656
Предоставление услуг в области добычи полезных ископаемых,09,2021,304.7557
Предоставление услуг в области добычи полезных ископаемых,09,2022,312.37859999999995
Предоставление услуг в области добычи полезных ископаемых,09,2023,989.3081
Предоставление услуг в области добычи полезных ископаемых,09,2024,230.7295
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,230.7295
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2024,
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2024,197.3906
Производство пищевых продуктов,10,2017,214.9772
Производство пищевых продуктов,10,2018,54.3237
 Производство пищевых продуктов,10,2019,209.5748
 Производство пищевых продуктов,10,2020,200.723
 Производство пищевых продуктов,10,2021,435.2232
 Производство пищевых продуктов,10,2022,931.4945
Производство пищевых продуктов,10,2023,1319.9133
Производство пищевых продуктов,10,2024,1162.5033
Производство молочной продукции,10.5,2024,
Производство молока (кроме сырого) и молочной продукции,10.51,2024,
Производство прочей молочной продукции,10.51.9,2024,
Производство прочих пищевых продуктов,10.8,2024,772.3259
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2024,772.3259
"Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей",10.89.3,2024,
Производство пищевых ферментов,10.89.4,2024,
Производство биологически активных добавок к пище,10.89.8,2023,
Производство биологически активных добавок к пище,10.89.8,2024,
"Производство прочих продуктов питания, не включенных в другие группировки",10.89.9,2024,10.7006
Производство готовых кормов для животных,10.9,2024,
"Производство готовых кормов для животных, содержащихся на фермах",10.91,2024,
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2023,
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2024,
Производство готовых кормов для непродуктивных животных,10.92,2024,
Всего по обследуемым видам экономической деятельности,101.АГ,2017,1356247.4298
Всего по обследуемым видам экономической деятельности,101.АГ,2018,1395893.7570999998
Всего по обследуемым видам экономической деятельности,101.АГ,2019,1464241.1583
Всего по обследуемым видам экономической деятельности,101.АГ,2020,1550737.1604000002
Всего по обследуемым видам экономической деятельности,101.АГ,2021,1658847.3969
Всего по обследуемым видам экономической деятельности,101.АГ,2022,1795585.1282000002
Всего по обследуемым видам экономической деятельности,101.АГ,2023,2064473.6744
Всего по обследуемым видам экономической деятельности,101.АГ,2024,2348086.2807
Промышленное производство (промышленность),102.АГ,2017,152752.7991
Промышленное производство (промышленность),102.АГ,2018,159065.46269999995
Производство напитков,11,2017,
Производство напитков,11,2018,
Производство напитков,11,2019,
Производство напитков,11,2020,
"Перегонка, очистка и смешивание спиртов",11.01,2018,
"Перегонка, очистка и смешивание спиртов",11.01,2019,
"Перегонка, очистка и смешивание спиртов",11.01,2020,
Производство текстильных изделий,13,2017,51.16
Производство текстильных изделий,13,2018,194.3414
Производство текстильных изделий,13,2019,140.5104
Производство текстильных изделий,13,2020,211.1991
Производство текстильных изделий,13,2021,227.8816
Производство текстильных изделий,13,2022,395.7651
Производство текстильных изделий,13,2023,98.2308
Производство текстильных изделий,13,2024,317.9698
Производство текстильных тканей,13.20,2017,
Производство текстильных тканей,13.20,2018,
 Производство текстильных тканей,13.20,2019,
 Производство текстильных тканей,13.20,2020,
Производство текстильных тканей,13.20,2023,
Производство текстильных тканей,13.20,2024,
"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон",13.20.3,2024,
Производство прочих текстильных изделий,13.9,2024,317.0318
"Производство готовых текстильных изделий, кроме одежды",13.92,2024,
"Производство нетканых текстильных материалов и изделий из них, кроме одежды",13.95,2024,
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2024,20928.5996
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2017,1396.066
 Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2018,2605.3186
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2019,2408.0244
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2020,1977.6548
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2021,2102.9755
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2022,3678.6388
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2023,4744.6222
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2024,3684.0901
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2019,179716.1249
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2020,234656.2886
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2021,241118.3496
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2022,255949.9188
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2023,311117.508
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2024,464728.0221
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2018,826.5294
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2019,1119.2747
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2020,1426.9987
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2021,1378.0705
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2022,1149.2476
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2023,1725.6952
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2024,887.8162
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2024,940.1559
Сектор информационно-коммуникационных технологий,1324500.029.01,2017,37863.8856
Сектор информационно-коммуникационных технологий,1324500.029.01,2018,48870.6553
Сектор информационно-коммуникационных технологий,1324500.029.01,2019,31501.9589
Сектор информационно-коммуникационных технологий,1324500.029.01,2020,47973.1779
Сектор информационно-коммуникационных технологий,1324500.029.01,2021,39675.333
Сектор информационно-коммуникационных технологий,1324500.029.01,2022,46869.2195
Сектор информационно-коммуникационных технологий,1324500.029.01,2023,56187.7713
Сектор информационно-коммуникационных технологий,1324500.029.01,2024,89406.605
Сектор контента и средств массовой информации,1324500.029.02,2017,
 Сектор контента и средств массовой информации,1324500.029.02,2018,
Сектор контента и средств массовой информации,1324500.029.02,2019,
Сектор контента и средств массовой информации,1324500.029.02,2020,
Сектор контента и средств массовой информации,1324500.029.02,2021,16.2873
Сектор контента и средств массовой информации,1324500.029.02,2022,19.9735
Сектор контента и средств массовой информации,1324500.029.02,2023,25.0181
Сектор контента и средств массовой информации,1324500.029.02,2024,
Собирательная классификация группировка видов экономической деятельности «Отрасль информационных технологий» на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),1324500.029.11,2017,5980.5121
Отрасль информационных технологий,1324500.029.11,2018,6318.391
Отрасль информационных технологий,1324500.029.11,2019,5624.7275
Отрасль информационных технологий,1324500.029.11,2020,10231.0952
Отрасль информационных технологий,1324500.029.11,2021,10140.6463
Отрасль информационных технологий,1324500.029.11,2022,15057.7234
Отрасль информационных технологий,1324500.029.11,2023,10716.4974
Отрасль информационных технологий,1324500.029.11,2024,18512.3923
Собирательная классификационная группировка видов экономической деятельности  Агропромышленный комплекс  на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2),1325000.029.01,2017,1077094.6289
" Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2018,1090495.5757000002
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2019,1086557.1341
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2020,1133055.9264
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2021,1216041.9411
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2022,1312498.0285
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2023,1506732.8293
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2024,1599683.5815
Наукоемкие виды экономической деятельности.,136.АГ,2024,1868809.0155
Производство одежды,14,2017,
Производство одежды,14,2018,
Производство одежды,14,2019,
Производство одежды,14,2021,
Производство одежды,14,2022,
Производство одежды,14,2023,
Производство одежды,14,2024,198.4484
"Производство одежды, кроме одежды из меха",14.1,2017,
"Производство одежды, кроме одежды из меха",14.1,2018,
"Производство одежды, кроме одежды из меха",14.1,2019,
"Производство одежды, кроме одежды из меха",14.1,2021,
"Производство одежды, кроме одежды из меха",14.1,2022,
"Производство одежды, кроме одежды из меха",14.1,2023,
"Производство одежды, кроме одежды из меха",14.1,2024,198.4484
Производство спецодежды,14.12,2024,198.4484
Производство кожи и изделий из кожи,15,2017,
Производство кожи и изделий из кожи,15,2018,
Производство кожи и изделий из кожи,15,2019,
Производство обуви,15.20,2017,
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2017,
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2018,
Производство бумаги и бумажных изделий,17,2017,
Производство бумаги и бумажных изделий,17,2018,
Производство бумаги и бумажных изделий,17,2019,
Производство бумаги и бумажных изделий,17,2021,
Производство бумаги и бумажных изделий,17,2022,
Производство бумаги и бумажных изделий,17,2024,
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2024,
Производство бумаги и картона,17.12,2024,
Производство бумаги,17.12.1,2024,
Деятельность полиграфическая и копирование носителей информации,18,2017,318.5285
Деятельность полиграфическая и копирование носителей информации,18,2018,
Деятельность полиграфическая и копирование носителей информации,18,2019,
Деятельность полиграфическая и копирование носителей информации,18,2020,
Деятельность полиграфическая и копирование носителей информации,18,2021,
Деятельность полиграфическая и копирование носителей информации,18,2022,
Деятельность полиграфическая и копирование носителей информации,18,2023,
Производство кокса и нефтепродуктов,19,2017,341.82120000000003
Производство кокса и нефтепродуктов,19,2018,502.9487
Производство кокса и нефтепродуктов,19,2019,554.5339
Производство кокса и нефтепродуктов,19,2020,
Производство кокса и нефтепродуктов,19,2021,
Производство кокса и нефтепродуктов,19,2022,290.0365
Производство кокса и нефтепродуктов,19,2023,444.7185
Производство кокса и нефтепродуктов,19,2024,
Производство нефтепродуктов,19.20,2024,
Производство жидкого топлива,19.20.1,2024,
Производство прочих нефтепродуктов,19.20.9,2019,
Производство прочих нефтепродуктов,19.20.9,2021,
Производство прочих нефтепродуктов,19.20.9,2022,
Производство прочих нефтепродуктов,19.20.9,2023,
Производство прочих нефтепродуктов,19.20.9,2024,
Производство химических веществ и химических продуктов,20,2017,2315.1928
Производство химических веществ и химических продуктов,20,2018,2730.8654
Производство химических веществ и химических продуктов,20,2019,4446.8591
Производство химических веществ и химических продуктов,20,2020,11672.0026
Производство химических веществ и химических продуктов,20,2021,7741.2264
Производство химических веществ и химических продуктов,20,2022,7194.4005
Производство химических веществ и химических продуктов,20,2023,6020.6641
Производство химических веществ и химических продуктов,20,2024,12593.8258
"Производство химических продуктов, не включенные в другие группировки",20.05.АГ,2017,659.4788000000001
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2018,882.5438
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2019,1187.2451
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2020,2313.3741
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2024,6647.8157
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2017,302.96259999999995
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2018,882.5438
" Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2019,1187.2451
" Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2020,2313.3741
" Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2021,2225.9808
" Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2022,3292.4285
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2023,3078.1786
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2024,6647.8157
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2017,1345.5295
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018,1311.0164
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019,2891.6921
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020,9134.2151
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021,5298.6578
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022,3647.2769
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023,2651.6044
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024,5601.6903
Производство красителей и пигментов,20.12,2024,
Производство прочих основных неорганических химических веществ,20.13,2024,2163.1121000000003
Производство прочих основных органических химических веществ,20.14,2024,92.1247
Производство углеводородов и их производных,20.14.1,2024,
,20.14.7,2020,280.9553
,20.14.7,2021,42.4335
Производство прочих химических органических основных веществ,20.14.7,2023,
Производство прочих химических органических основных веществ,20.14.7,2024,
Производство удобрений и азотных соединений,20.15,2017,148.55679999999998
Производство удобрений и азотных соединений,20.15,2018,93.157
 Производство удобрений и азотных соединений,20.15,2019,94.893
 Производство удобрений и азотных соединений,20.15,2020,
 Производство удобрений и азотных соединений,20.15,2021,
 Производство удобрений и азотных соединений,20.15,2022,
Производство удобрений и азотных соединений,20.15,2023,
Производство удобрений и азотных соединений,20.15,2024,132.2612
Производство азотных минеральных или химических удобрений,20.15.3,2024,
"Производство удобрений, не включенных в другие группировки",20.15.7,2024,
Производство пластмасс и синтетических смол в первичных формах,20.16,2024,2827.1042
Производство синтетического каучука в первичных формах,20.17,2024,
Среднетехнологичные высокого уровня виды деятельности,20.27.01.АГ,2024,192212.5838
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2017,86.8366
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018,156.7436
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019,193.2915
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020,98.697
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021,105.3974
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022,115.4376
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023,124.5125
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2024,122.6526
Производство красок и лаков на основе полимеров,20.30.1,2024,71.3634
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2024,
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2017,223.3479
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018,271.7822
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019,102.8794
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020,125.7164
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021,110.7395
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022,135.815
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023,163.41410000000002
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024,218.6204
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2024,193.0484
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2024,46.5999
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2024,
Производство парфюмерных и косметических средств,20.42,2024,
Производство прочих химических продуктов,20.5,2017,659.4788000000001
Производство прочих химических продуктов,20.5,2018,882.5438
Производство прочих химических продуктов,20.5,2019,1187.2451
Производство прочих химических продуктов,20.5,2020,2313.3741
Производство прочих химических продуктов,20.5,2021,2225.9808
Производство прочих химических продуктов,20.5,2022,3292.4285
Производство прочих химических продуктов,20.5,2023,3078.1786
Производство прочих химических продуктов,20.5,2024,6647.8157
Производство химических волокон,20.6,2018,
Производство химических волокон,20.6,2019,
Производство химических волокон,20.6,2021,
Производство химических волокон,20.6,2022,
Производство химических волокон,20.6,2023,
Производство химических волокон,20.60,2024,
Производство синтетических волокон,20.60.1,2024,
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2017,4088.7714
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2018,2491.16
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2019,2191.3458
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2020,3635.1678
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2021,5666.5111
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2022,6863.058
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023,12388.6374
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024,15042.8432
Производство фармацевтических субстанций,21.1,2017,364.429
Производство фармацевтических субстанций,21.1,2018,216.8946
Производство фармацевтических субстанций,21.10,2019,
Производство фармацевтических субстанций,21.10,2020,
Производство фармацевтических субстанций,21.10,2021,
Производство фармацевтических субстанций,21.10,2022,234.8834
Производство фармацевтических субстанций,21.10,2023,715.6125
Производство фармацевтических субстанций,21.10,2024,321.8047
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2017,3724.3424
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.2,2018,2274.2654
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2019,2188.9032
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2020,3621.5128
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2021,5478.6342
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2022,6628.174599999999
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2023,11673.0249
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2024,14721.0385
Производство лекарственных препаратов для медицинского применения,21.20.1,2024,12749.2839
