region,okato,year,RDsalary_r
Республика Тыва,93,2020,230.0234
Республика Тыва,93,2021,238.6383
Республика Тыва,93,2022,263.9037
Республика Тыва,93,2023,276.8783
Республика Тыва,93,2024,303.8838
Удмуртская Республика,94,2016,529.4146999999999
Удмуртская Республика,94,2017,705.6261999999999
Удмуртская Республика,94,2018,877.3258000000001
Удмуртская Республика,94,2019,923.0029
Удмуртская Республика,94,2020,944.3005
Удмуртская Республика,94,2021,968.2007
Удмуртская Республика,94,2022,954.9108
Удмуртская Республика,94,2023,1129.331
Удмуртская Республика,94,2024,1528.916
Республика Хакасия,95,2016,50.7723
Республика Хакасия,95,2017,63.6867
Республика Хакасия,95,2018,65.3668
Республика Хакасия,95,2019,68.08210000000001
Республика Хакасия,95,2020,76.5547
Республика Хакасия,95,2021,106.7331
Республика Хакасия,95,2022,135.4349
Республика Хакасия,95,2023,170.34720000000002
Республика Хакасия,95,2024,177.7795
Чеченская Республика,96,2016,108.1124
Чеченская Республика,96,2017,142.7808
Чеченская Республика,96,2018,163.61329999999998
Чеченская Республика,96,2019,178.6215
Чеченская Республика,96,2020,213.2243
Чеченская Республика,96,2021,207.6168
Чеченская Республика,96,2022,236.1551
Чеченская Республика,96,2023,264.9759
Чеченская Республика,96,2024,383.7665
Чувашская Республика - Чувашия,97,2016,672.0790999999999
Чувашская Республика - Чувашия,97,2017,823.2441
Чувашская Республика - Чувашия,97,2018,807.8513
Чувашская Республика - Чувашия,97,2019,753.0494
Чувашская Республика - Чувашия,97,2020,710.7544
Чувашская Республика - Чувашия,97,2021,750.989
Чувашская Республика - Чувашия,97,2022,610.9055
Чувашская Республика - Чувашия,97,2023,537.5271
Чувашская Республика - Чувашия,97,2024,988.2007
Республика Саха (Якутия),98,2016,1667.686
Республика Саха (Якутия),98,2017,1631.382
Республика Саха (Якутия),98,2018,1908.0428
Республика Саха (Якутия),98,2019,1928.3887
Республика Саха (Якутия),98,2020,2064.5637
Республика Саха (Якутия),98,2021,2363.4621
Республика Саха (Якутия),98,2022,2622.7011
Республика Саха (Якутия),98,2023,2812.1519
Республика Саха (Якутия),98,2024,2853.2872
Еврейская автономная область,99,2016,
Еврейская автономная область,99,2017,
Еврейская автономная область,99,2018,
Еврейская автономная область,99,2019,
Еврейская автономная область,99,2020,
Еврейская автономная область,99,2021,
Еврейская автономная область,99,2022,
Еврейская автономная область,99,2023,
Еврейская автономная область,99,2024,92.5161
